Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,DMA 50,DMA 200,Free cash flow last year,Price to Earning,Average return on capital employed 3Years,Market Capitalization,Operating cash flow 3years,Industry PE,Historical PE 3Years,Historical PE 5Years,Sales growth 5Years,Sales growth 3Years,Profit growth 5Years,Profit growth 3Years,OPM 5Year,OPM,OPM last year,EBIDT growth 3Years,Average return on equity 5Years,Average return on equity 3Years,Average return on capital employed 5Years,Debt to equity,Interest Coverage,Interest Coverage Ratio,Debt To Profit,Historical PE 7Years,Price to book value,Promoter holding,Change in promoter holding 3Years,EPS last year,EPS growth 3Years,Pledged percentage,Average dividend payout 3years,Dividend yield,Capital work in progress,Altman Z Score,Piotroski score,Down from 52w high,Up from 52w low
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,6337.50,5784.33,5562.67,979.88,80.42,33.06,134255.45,3902.80,32.95,84.53,97.91,17.80,15.51,57.12,29.76,14.39,15.47,15.47,27.81,21.60,24.70,27.66,0.01,113.11,113.11,0.05,94.29,17.14,75.00,0.00,78.73,29.76,0.00,49.99,0.62,116.44,18.60,5.00,3.32,38.07
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1401.90,1463.65,1425.33,9228.08,25.60,12.08,323465.80,44143.36,21.81,26.88,27.53,20.75,21.20,23.07,27.34,58.39,59.27,59.53,18.49,16.88,17.28,12.21,0.85,4.95,4.95,5.14,26.62,4.82,68.02,2.89,51.35,26.39,0.00,16.65,0.50,10103.84,4.84,7.00,11.50,34.66
Apollo Hospitals,508869,APOLLOHOSP,INE437A01024,Healthcare Services,Hospital,7471.00,7461.60,7318.24,438.60,59.13,15.47,107375.70,5433.50,43.54,87.57,84.89,14.15,14.12,33.72,18.15,13.09,14.57,13.92,12.40,13.86,15.37,14.26,0.88,6.56,6.56,5.31,81.32,11.81,28.02,-1.31,100.56,18.15,2.49,21.51,0.25,1026.40,10.12,8.00,7.76,19.98
Ather Energy,544397,ATHERENERG,INE0LEZ01016,Automobiles,2/3 Wheelers,750.20,692.02,584.80,-1059.70,,-78.50,28679.91,-1859.50,28.99,,,129.65,76.73,,,-38.39,-16.11,-25.76,,-147.48,-168.87,-65.88,0.16,-5.97,-5.97,-0.53,,10.53,40.86,,-27.95,25.97,0.00,0.00,0.00,24.10,12.05,4.00,5.04,161.12
Avenue Super.,540376,DMART,INE192R01011,Retailing,Diversified Retail,3844.00,3861.11,4014.05,-954.24,87.33,19.15,250181.49,7839.08,39.20,100.61,110.47,19.00,24.21,15.86,21.80,7.92,7.47,7.57,20.67,13.24,14.50,17.18,0.07,33.47,33.47,0.59,112.70,10.93,74.65,-0.34,41.61,21.62,0.00,0.00,0.00,1525.14,19.19,4.00,22.34,8.94
Bajaj Holdings,500490,BAJAJHLDNG,INE118A01012,Finance,Holding Company,9859.00,10730.05,11584.00,-1864.61,14.93,10.87,109824.81,1712.01,16.89,16.18,15.40,11.17,15.13,16.57,16.66,82.45,85.50,75.67,16.26,11.74,12.27,10.25,0.00,8366.58,8366.58,0.00,14.38,1.62,51.46,0.10,585.90,16.66,0.00,21.38,0.94,0.00,3.61,4.00,33.71,5.50
Bharti Airtel,532454,BHARTIARTL,INE397D01024,Telecom - Services,Telecom - Cellular & Fixed line services,1855.40,1945.38,1939.96,58990.50,34.53,12.95,1057968.62,242555.00,37.29,52.86,61.84,14.59,14.07,31.41,83.40,49.62,56.61,49.17,14.99,14.88,17.27,11.27,1.77,3.10,3.10,5.55,60.22,8.98,48.87,-6.25,58.85,85.34,0.00,38.83,0.86,10219.20,4.11,5.00,14.68,14.00
Billionbrains,544603,GROWW,INE0HOQ01053,Capital Markets,Stockbroking & Allied,163.35,161.37,148.93,-978.63,63.49,34.49,102491.93,470.63,17.18,16.14,16.14,,111.84,,112.67,,62.31,62.31,134.19,,31.93,34.49,0.05,58.90,58.90,0.20,16.14,13.71,27.81,,9.98,26.09,0.21,0.00,0.00,1340.15,13.69,5.00,15.76,45.85
BSE,,BSE,INE118H01025,Capital Markets,Exchange and Data Platform,2995.60,2797.72,2537.24,261.79,55.93,27.53,122010.51,2920.52,55.93,68.90,55.94,39.45,56.33,65.43,70.47,48.68,61.26,58.41,65.25,18.08,22.77,21.15,0.00,,,0.00,36.15,23.42,0.00,0.00,32.65,70.43,0.00,41.07,0.20,213.85,19.75,8.00,7.17,116.26
C D S L,,CDSL,INE736A01011,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",1233.60,1319.85,1438.25,387.24,54.14,37.49,25782.24,1177.45,46.09,58.14,53.92,36.89,25.21,37.81,19.22,60.07,52.02,57.73,21.04,29.41,29.74,36.59,0.00,3517.50,3517.50,0.00,45.35,14.80,15.00,-5.00,25.20,19.22,0.00,55.02,1.01,11.59,20.01,7.00,32.55,14.23
